0 0.334 5
1 0.270 4
2 0.287 4
3 0.328 5
4 0.343 5
5 0.258 4
6 0.311 5
7 0.339 5
8 0.347 5
9 0.246 4
10 0.308 5
11 0.265 4
12 0.278 4
13 0.260 4
14 0.253 4
15 0.317 5
16 0.317 5
17 0.313 5
18 0.275 4
19 0.326 5
20 0.261 4
21 0.269 4
22 0.339 5
23 0.281 4
24 0.329 5
25 0.338 5
26 0.369 5
27 0.313 5
28 0.288 4
29 0.346 5
30 0.346 5
31 0.299 4
32 0.342 5
33 0.325 5
34 0.349 5
35 0.322 5
36 0.316 5
37 0.244 4
38 0.270 4
39 0.345 5
40 0.308 5
41 0.306 5
42 0.306 5
43 0.258 4
44 0.309 5
45 0.250 4
46 0.289 4
47 0.273 4
48 0.344 5
49 0.248 4
50 0.384 6
51 0.350 5
52 0.332 5
53 0.335 5
54 0.330 5
55 0.264 4
56 0.346 5
57 0.332 5
58 0.320 5
59 0.268 4
60 0.328 5
61 0.275 4
62 0.317 5
63 0.255 4
64 0.354 5
65 0.326 5
66 0.276 4
67 0.337 5
68 0.273 4
69 0.271 4
70 0.341 5
71 0.355 5
72 0.324 5
73 0.306 5
74 0.317 5
75 0.357 5
76 0.306 5
77 0.264 4
78 0.259 4
79 0.252 4
80 0.356 5
81 0.289 4
82 0.269 4
83 0.334 5
84 0.345 5
85 0.325 5
86 0.340 5
87 0.335 5
88 0.265 4
89 0.344 5
90 0.322 5
91 0.346 5
92 0.340 5
93 0.302 5
94 0.323 4
95 0.336 5
96 0.305 4
97 0.321 4
98 0.274 4
99 0.281 4
