0 0.032 6
1 0.032 6
2 0.043 5
3 0.033 6
4 0.032 6
5 0.034 5
6 0.031 6
7 0.033 6
8 0.034 5
9 0.032 6
10 0.036 6
11 0.033 5
12 0.032 4
13 0.032 5
14 0.038 5
15 0.031 5
16 0.031 6
17 0.031 5
18 0.031 5
19 0.040 6
20 0.032 5
21 0.034 5
22 0.042 5
23 0.031 5
24 0.032 5
25 0.043 5
26 0.032 6
27 0.043 6
28 0.032 5
29 0.031 6
30 0.043 6
31 0.042 5
32 0.032 6
33 0.043 6
34 0.032 6
35 0.043 5
36 0.037 6
37 0.043 6
38 0.032 4
39 0.032 6
40 0.041 6
41 0.032 5
42 0.034 6
43 0.032 5
44 0.040 5
45 0.032 6
46 0.045 5
47 0.032 5
48 0.032 5
49 0.031 5
50 0.032 7
51 0.045 6
52 0.034 5
53 0.044 7
54 0.033 6
55 0.036 5
56 0.044 6
57 0.034 6
58 0.040 6
59 0.042 5
60 0.035 5
61 0.041 5
62 0.032 6
63 0.032 4
64 0.041 5
65 0.034 6
66 0.032 5
67 0.032 5
68 0.038 6
69 0.048 4
70 0.036 6
71 0.046 6
72 0.035 5
73 0.045 5
74 0.033 5
75 0.034 5
76 0.032 5
77 0.037 5
78 0.033 6
79 0.040 5
80 0.035 5
81 0.040 5
82 0.032 6
83 0.031 6
84 0.032 5
85 0.044 5
86 0.048 5
87 0.044 6
88 0.034 5
89 0.032 6
90 0.045 6
91 0.038 6
92 0.043 6
93 0.031 6
94 0.044 5
95 0.042 6
96 0.033 6
97 0.042 5
98 0.032 5
99 0.035 4
